AASP101 |<i> Formerly AASP300. </i> The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era.| |Public Policy and the Black Community| REG/P-F/AUD 3  |CORE Behavioral and Social Science (SB) Course.|
AASP200 |A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.| |African Civilization| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
GEOL657 |<i> Prerequisite: permission of department. Recommended: (GEOL100 or GEOL120), and PHYS161, and (MATH241 and MATH246). In addition, non-degree-seeking students require the permission of the instructor. Credit will be granted for only one of the following: GEOL657 or GEOL789A. Formerly GEOL789A. </i> A description of the physics of seismic wave propagation and their applications to the determination of the structure of the Earth and the mechanics of earthquakes.| |Seismic Wave Propagation| REG/AUD 3  
GEOL798  |Seminar in Geology| REG/AUD 1 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GEOL799  |Master's Thesis Research| REG 1-6  |Individual Instruction course: contact department or instructor to obtain section number.|
GEOL898  |Pre-Candidacy Research| REG 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
GEOL899  |Doctoral Dissertation Research| REG 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GERM203 |<i> Prerequisite: GERM103 or equivalent. Not open to students who have completed GERM201, GERM202, four years of high school German, or to fluent/native speakers of German. Credit will be granted for only one of the following: GERM202 or GERM203. </i> Covers speaking, reading, writing, listening, and culture of German-speaking world.| |Intensive Intermediate German| REG 4  |CORE Humanities (HO) Course.|
GERM204 |<i> Prerequisite: GERM203 or level 4 of high school German. Not open to fluent/native speakers. </i> An in-depth study and analysis of selected grammatical topics in a contextualized framework.| |German Grammar Review| REG 3  |CORE Humanities (HO) Course.|
GERM248Y |Also offered as JWST219Y. During the first week of classes, instructor will find a mutually agreeable time for future class meetings.| |Intermediate Yiddish| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
GERM285 |A visual approach to German literature through a study of the historical, cultural, and literary significance of German films. Representative examples from the golden age of German silent films to the new German cinema. Taught in English.| |German Film and Literature| REG/P-F/AUD 3  |CORE Literature (HL) Course.|
GERM301 |<i> Prerequisite: GERM204 or equivalent. </i> Practice in contemporary spoken and written German. Systematic review of grammar, and exercises in composition. Emphasis on cultural contrasts.| |Conversation and Composition I: Germany and Its People| REG/P-F/AUD 3  
GERM302 |<i> Prerequisite: GERM301 or equivalent. </i> Further practice in contemporary spoken and written German. Contemporary social, political, and cultural themes.| |Conversation and Composition II: Current Topics in German Society| REG/P-F/AUD 3  
GERM302H |<i> Prerequisite: GERM301 or equivalent. </i>| |Conversation and Composition II: Current Topics in German Society| REG/P-F/AUD 3 (PermReq) 
GERM320 |<i> Prerequisite: GERM301 or equivalent. </i> Approaches to analysis of German cultural products such as literature, film, poetry, architecture and works of art. Taught in German.| |Survey of German Studies| REG/P-F/AUD 3  
GERM320H |<i> Prerequisite: GERM301 or equivalent. </i>| |Survey of German Studies| REG/P-F/AUD 3  
GERM386 |<i> Prerequisite: permission of department. Junior standing. </i>| |Experiential Learning| REG/P-F 3-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GERM397H  |Honors Reading (Independent Study)| REG/P-F/AUD 3  |Individual Instruction course: contact department or instructor to obtain section number.|
GERM403 |<i> Prerequisite: GERM302 or equivalent. </i> Advanced instruction in writing skills. Contemporary and/or historical treatment of cultural and social issues. Also offered as GERM403H.| |Advanced Composition: German Cultural and Social Issues| REG/P-F/AUD 3  
GERM403H |<i> Prerequisite: GERM302 or equivalent. </i> For general honors students only. Also offered as GERM403.| |Advanced Composition: German Cultural and Social Issues| REG/P-F/AUD 3  
GERM499  |Directed Study| REG/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GERM620 |History, methods and concepts of German literary studies. The teaching modules include a general introduction to "Germanistik," an in-depth discussion of literary theory and criticism, and the typology of genres.| |Methods of German Literary Studies I:  Theory| REG/AUD 3  
GERM673 |<i> Credit will be granted for only one of the following: GERM 489L, GERM 673, or GERM 689L. </i> Examines the unique, multilingual society that is modern Germany, exploring issues such as regional varieties, gendered language, language reform ( and resistance to it), public and media speech, the influence of American English on colloquial speech and in specific fields, and the problems of immigrant communities acquiring both dialect and standard German. This may count for the upper-division requirement of the German major.| |Variation in Contemporary German| REG/AUD 3  
GERM798  |Master's Independent Study| REG/AUD 1-3  |Individual Instruction course: contact department or instructor to obtain section number.|
GERM799  |Master's Thesis Research| REG/S-F 1-6  |Individual Instruction course: contact department or instructor to obtain section number.|
GERM888  |Doctoral Independent Study| REG/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GERM898  |Pre-Candidacy Research| REG/S-F 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
GERM899  |Doctoral Dissertation Research| REG/S-F 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
GREK102 |<i> Prerequisite: GREK101 or equivalent. </i> Continuing development of basic grammar and reading skills; study and discussion of central aspects of Greek culture.| |Elementary Ancient Greek II| REG/P-F/AUD 4  
GREK112 |<i> Not open to native speakers of Greek. Prerequisite: GREK111 or permission of instructor. Credit will be granted for only one of the following: FOLA109G or GREK112. Formerly FOLA109G. </i> It is designed for students who have already completed the first semester course (GREK111) and/or those whose level of proficiency in Greek is not advanced enough for the intermediate level. Like GREK111, an introduction is provided to the language and culture of modern Greece. Students acquire the basic tools of the language and learn to communicate in simple, everyday situations. This is the second of our two-semester sequence in Elementary Modern Greek and contributes to the fulfillment of the foreign language requirement of the College of Arts and Humanities.| |Elementary Modern Greek II| REG/P-F/AUD 3  
GREK212 |<i> Prerequisite: GREK211 or permission of instructor. Credit will be granted for only one of the following: FOLA119G or GREK212. Formerly FOLA119G. </i> A continuation in the development of fluency in spoken and written communication along with the exploration of syntactic and grammatical structures. Comprehension and vocabulary enrichment are further developed through selected readings from Modern Greek prose and poetry. This is the second of our two-semester sequence in Intermediate Modern Greek and contributes to the fulfillment of the foreign language requirement of the College of Arts and Humanities.| |Intermediate Modern Greek II| REG/P-F/AUD 3  
GREK301 |<i> Credit will be granted for only one of the following: GREK301 or GREK351. Formerly GREK351. </i> Makes the transition from study of Greek grammar to reading. Focus on selected aspects of life in Athens: marriage, friendship, the courts, festival, theatre. Reading short works by three authors: Lysias, Plato, and a playwright (e.g., Menander).| |Scenes from Athenian Life| REG/P-F/AUD 3  
GREK311 |<i> Prerequisite: GREK212 or equivalent and permission of instructor. </i> Designed to help the student improve skills in conversation and reading. Students will be expected to read and discuss moderately advanced Greek texts on a variety of subjects and in a variety of styles.| |Readings and Conversations| REG/P-F/AUD 3  
